tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,ground_truth_intent,ground_truth_escalate,ground_truth_reason,split
200000,user_10000,True,Wed Nov 08 12:00:00 +0000 2023,@SpotifyCares where did the lyrics button go on Windows 11 PC? It disappeared from the Now Playing screen yesterday!,200001,,app_ui_features,False,STANDARD_TROUBLESHOOTING,TRAIN
200001,SpotifyCares,False,Wed Nov 08 12:05:00 +0000 2023,"Hey! Lyrics are provided via Musixmatch and availability varies by track and territory. If lyrics are missing across all songs, try logging out and logging back in to refresh your app data.",,200000,app_ui_features,False,STANDARD_TROUBLESHOOTING,TRAIN
200002,user_10001,True,Wed Nov 08 12:00:00 +0000 2023,@SpotifyCares I'm not receiving the password reset email at all. Checked spam and trash.,200003,,account_access,True,SECURITY_RISK,TRAIN
200003,SpotifyCares,False,Wed Nov 08 12:05:00 +0000 2023,"Hi there. Make sure the email you entered matches the one on file. If you originally signed up via Facebook or Apple ID, use those buttons on the login screen instead!",,200002,account_access,True,SECURITY_RISK,TRAIN
200004,user_10002,True,Wed Nov 08 12:00:00 +0000 2023,@SpotifyCares search bar is completely frozen and doesn't register typing on MacBook Pro.,200005,,app_ui_features,False,STANDARD_TROUBLESHOOTING,TRAIN
200005,SpotifyCares,False,Wed Nov 08 12:05:00 +0000 2023,"Hey! Lyrics are provided via Musixmatch and availability varies by track and territory. If lyrics are missing across all songs, try logging out and logging back in to refresh your app data.",,200004,app_ui_features,False,STANDARD_TROUBLESHOOTING,TRAIN
200006,user_10003,True,Wed Nov 08 12:00:00 +0000 2023,@SpotifyCares my songs keep pausing after 10 seconds on my iPhone 15 Pro iOS 16.5.,200007,,playback_audio_bugs,False,STANDARD_TROUBLESHOOTING,TRAIN
200007,SpotifyCares,False,Wed Nov 08 12:05:00 +0000 2023,"Hey there! Let's try performing a clean reinstall. Head to Settings > Storage > Clear Cache, delete the app, restart your iPhone 15 Pro, and reinstall. Let us know if that fixes it!",,200006,playback_audio_bugs,False,STANDARD_TROUBLESHOOTING,TRAIN
200008,user_10004,True,Wed Nov 08 12:00:00 +0000 2023,@SpotifyCares why are half the songs on this album greyed out and unplayable for me?,200009,,content_availability,False,STANDARD_TROUBLESHOOTING,TRAIN
200009,SpotifyCares,False,Wed Nov 08 12:05:00 +0000 2023,"Hi there! If you are on a Family Plan, make sure the Plan Manager hasn't toggled explicit content off for your sub-account in their Family settings.",,200008,content_availability,False,STANDARD_TROUBLESHOOTING,TRAIN
200010,user_10005,True,Wed Nov 08 12:00:00 +0000 2023,@SpotifyCares Spotify Connect can't find my Sonos speakers even though we are on the exact same WiFi network.,200011,,device_connectivity,False,STANDARD_TROUBLESHOOTING,TRAIN
